Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name,pH
27.36,61.96,37.96,Red,Wheat,27,8,18,20-20,5.81
25.96,73.12,58.64,Sandy,Paddy,15,13,5,17-17-17,6.08
32.71,57.77,21.39,Red,Cotton,8,13,17,20-20,6.72
21.44,41.03,47.28,Red,Wheat,16,18,4,17-17-17,6.02
23.52,40.94,45.27,Loamy,Barley,20,6,13,17-17-17,6.4
15.59,49.76,31.66,Red,Wheat,38,18,9,17-17-17,6.04
32.03,46.86,49.61,Clayey,Oil seeds,11,13,21,17-17-17,7.04
26.66,62.9,67.26,Loamy,Paddy,28,10,9,17-17-17,6.75
24.48,59.13,46.62,Clayey,Wheat,28,14,8,17-17-17,6.44
21.8,52.83,20.76,Black,Wheat,42,10,12,17-17-17,5.72
27.63,72.23,32.48,Clayey,Tobacco,10,13,20,20-20,6.32
28.95,64.24,39.0,Red,Barley,11,15,11,17-17-17,7.24
23.71,55.69,52.2,Loamy,Ground Nuts,2,9,8,17-17-17,6.04
23.56,68.44,68.86,Sandy,Paddy,7,13,23,20-20,6.15
22.32,57.41,49.37,Sandy,Maize,16,29,14,17-17-17,6.92
30.85,84.64,47.26,Clayey,Sugarcane,4,16,11,17-17-17,6.84
24.48,59.01,36.07,Clayey,Barley,11,22,21,20-20,5.68
32.68,46.79,39.36,Loamy,Cotton,17,21,6,17-17-17,5.85
33.46,78.38,46.27,Sandy,Sugarcane,7,1,24,20-20,6.58
27.49,76.48,31.6,Red,Maize,22,22,21,20-20,6.06
29.63,47.52,29.85,Sandy,Tobacco,20,28,9,17-17-17,7.3
30.68,50.93,29.76,Red,Oil seeds,11,10,22,20-20,6.99
27.22,65.26,47.27,Sandy,Maize,24,26,16,17-17-17,6.0
26.9,64.35,45.07,Loamy,Ground Nuts,8,1,17,17-17-17,7.23
31.53,46.31,54.84,Black,Tobacco,23,19,12,17-17-17,6.44
37.8,48.83,31.55,Red,Cotton,0,8,6,17-17-17,7.2
34.04,62.4,37.1,Loamy,Oil seeds,9,10,6,17-17-17,5.69
29.94,60.78,35.28,Sandy,Maize,26,20,17,17-17-17,7.12
26.79,50.83,27.13,Sandy,Pulses,6,11,14,17-17-17,6.29
27.33,69.46,45.17,Sandy,Cotton,7,0,14,20-20,7.22
32.76,66.79,69.31,Sandy,Paddy,16,21,14,17-17-17,6.41
26.99,64.24,37.86,Red,Millets,7,0,4,17-17-17,5.58
18.35,73.88,50.08,Loamy,Pulses,2,4,14,17-17-17,6.89
24.9,48.4,48.65,Sandy,Barley,10,18,30,20-20,6.98
18.22,50.68,42.74,Black,Wheat,21,11,23,20-20,5.53
17.25,53.02,31.96,Red,Wheat,12,12,9,17-17-17,6.73
31.07,60.03,41.18,Loamy,Pulses,7,9,19,17-17-17,6.87
33.01,71.46,56.37,Black,Sugarcane,18,11,21,17-17-17,7.38
20.74,47.08,28.02,Black,Pulses,6,5,12,17-17-17,5.54
18.33,69.43,33.46,Loamy,Pulses,4,10,26,17-17-17,5.74
31.27,64.19,33.7,Red,Millets,23,6,22,20-20,6.35
22.06,70.4,50.9,Clayey,Maize,25,0,20,20-20,5.98
24.8,71.87,36.68,Sandy,Tobacco,20,15,14,17-17-17,5.52
25.81,68.22,63.45,Clayey,Paddy,27,15,15,17-17-17,7.0
34.67,84.9,51.12,Loamy,Paddy,40,12,14,17-17-17,6.97
18.34,51.9,46.76,Clayey,Barley,15,12,3,17-17-17,5.79
30.56,60.32,43.68,Clayey,Millets,8,0,20,20-20,7.47
19.56,59.78,25.34,Black,Pulses,10,3,20,17-17-17,6.44
27.92,78.87,38.12,Black,Maize,17,18,19,20-20,6.07
23.03,61.62,54.08,Red,Ground Nuts,13,13,31,20-20,6.55
29.85,61.53,50.8,Clayey,Maize,11,9,13,17-17-17,7.33
25.82,51.88,32.98,Loamy,Tobacco,13,2,12,17-17-17,6.22
23.26,74.41,48.97,Sandy,Maize,7,28,29,Urea,5.83
28.1,61.43,58.95,Black,Maize,16,29,14,17-17-17,7.18
25.21,42.26,40.75,Sandy,Cotton,13,21,13,17-17-17,6.57
23.29,52.23,31.15,Loamy,Pulses,7,3,10,17-17-17,6.0
30.87,51.41,34.4,Sandy,Maize,0,13,13,28-28,5.54
27.54,76.3,39.12,Red,Maize,30,25,27,20-20,5.77
39.71,58.24,39.1,Red,Cotton,13,0,9,17-17-17,6.61
26.21,68.49,24.41,Loamy,Wheat,47,11,1,17-17-17,7.35
39.7,52.32,28.22,Clayey,Millets,11,4,11,17-17-17,6.77
38.45,51.85,36.69,Sandy,Millets,14,5,8,17-17-17,5.84
